時間戳記,檔案版本,暱稱,縣市區,路名（區域）,數量,派送時間,發送狀況,備註,已整理過請打勾
2014/4/7 上午 10:53:37,服貿錯在哪白話說明版(法律篇) ,crystal,台中市北區,臺中科技大學,100份,04/03/103,"在街上發傳單, 順利發完! ","大多數拿了都會看內容
若是一群路過的就可以發一張給他們share, 
這樣可以提高文宣的使用率~",v
2014/4/7 上午 11:59:06, Bee140405+馬總統打臉文,EL+ANN,屏東縣屏東市,屏東車站,120,4/5/2014,"不接的佔少數，但有些是拿了也不看的(年輕人)，有些在等車時還拿筆出來畫重點，真開心!
本來只印70份，後來加印50份","傳單發送原則，微笑->鞠躬->塞進手裡。
因為在台北讀書，很少回去屏東，加上其實屏東第二選區(屏東市、麟洛鄉、萬丹鄉，立委:王進士)並不是我所屬的選區，希望有這幾處的朋友可以加入，麟洛我非常不熟啊",v
2014/4/7 下午 1:34:27,政院民間版比較,,高雄市,三民市場,150,04/08/2014,,,v
2014/4/7 下午 1:48:29,看病,,台北市大安區,樂業街41巷 和平東三段87 91號,60,20140407,中午時間投信箱 順利,,v
2014/4/7 下午 2:08:48,Bee140405,飄緹,台南舊市區,林森路二段,450,4/7 /14  ,"發送時間 4/7 0:00~2:00
聊的非常開心 心裡很感動
飄緹還發送到　中國國民黨黨部東區民眾服務處XD
",,v
2014/4/7 下午 2:09:30,Bee140405,飄緹,台南市東區,林森路二段,450,4/7 /14  ,"發送時間 4/7 0:00~2:00
聊的非常開心 心裡很感動
飄緹還發送到　中國國民黨黨部東區民眾服務處XD
",,v
2014/4/7 下午 3:22:10,看病,,台北市中正區,汀州路二段121號 牯嶺街99號停車場對面,50,4/7晚上,預計今晚投信箱,,v
2014/4/7 下午 4:02:28,Bee140405,工蜂Chen,台北市內湖區,港墘路～內湖路一段(捷運西湖站附近),300,04/07/2014,以主要道路為主，裡面的巷弄還沒有投遞～,,v
2014/4/7 下午 4:03:37,最後一本書（出版自由）,阿啾小蜜蜂,高雄三民區,大統新世紀誠品文宣櫃和明儀倉庫書局文宣櫃,80,04/07/2014,我衝進去文店員大大可不可以放，他們都同意了。太感謝了！（之後定期補充）,沒有遇到狗真是太好惹！之前去巷子發，狗狗都會叫，有點可怕。,v
2014/4/7 下午 4:29:38,Bee140405B-W,Freedom,台北市北投區,"立農街二段202巷1號及1-1號, 2弄1~8號, 3弄1~11號，東華街二段102巷2弄1-7號",120,04/07/2014,"很安靜的地區 下著雨 沒啥人
好多巷弄 都是公寓 
一下就塞完信箱了 還不夠
","試著拿了一疊詢問附近的美容院
店裡還放著壹週刊及自由時報
但一聽到是服貿的文宣
就拒絕了
決定折一折去丟其他信箱",v
2014/4/7 下午 5:05:56,Bee140405,宜蘭蜂,宜蘭縣宜蘭市,國榮路56號~138號左右/國榮路92巷2弄,50,04/07/2014,順利！有不少看起來沒人住，就沒投了，不方便投遞的住家也跳過。,沒碰到惡犬，只遇到一隻安靜的小白狼XD,v
2014/4/7 下午 5:25:41,Bee140405,BEEBEE,新北市蘆洲區,和平路到長榮路,150,4/7/2014,店家的支持，讓我更有信心繼續做下去,,v
2014/4/7 下午 6:08:35,Bee140405,成大！YO群爺！,台南市北區,北安路北成路巷弄全部,400,04/07/2014,還算順利,"1. 建議在(下午、半夜)人較少的時候發送，遇過當場撕掉狂譙你的= =""。
2. 在發送之前可以先將傳單先摺好，將有內容的show在外面，比較顯眼。
3. 記得要說自己沒有立場，只是宣導，比較安全。
",v
2014/4/7 下午 6:50:04,Bee140405,ayane,台北市文山區,興隆路三段112巷2弄(1~9號、10~16號偶數),50,4/7/2014,,,v
2014/4/7 下午 8:38:54,最後一本書（出版自由）,阿啾小蜜蜂,高雄市左營區,文萊路和立中路182巷,120,04/07/2014,"呼～我今天在發的時候默念""阿狗不要出現""""阿狗不要出現""，還好今天遇到的都是悠閒又友善的狗。",明天繼續加油。,v
2014/4/7 下午 8:47:13,Bee140405,ayane,台北市文山區,興隆路三段112巷2弄(11~15奇數、17~38),97,4/7/2014,順利,,v
2014/4/7 下午 8:50:22,Bee140405&服貿對看病有什麼影響,新竹野內蜂,新竹市東區,光復路一段89巷133~135號,50,04/07/2014,派送至住戶信箱,,v
2014/4/7 下午 8:59:42,Bee140405B-W,jim00365,台南市北區,文賢國中校門口附近,100,04/07/103,本來是預計只發給家長的，但發到一半驚覺家長不夠多，開始發送給學生並請他們在了解的同時也轉告給家長，發送過程還算順利,,v
2014/4/7 下午 9:03:18,Bee140405,Bing,宜蘭縣五結鄉,和平路,150,4/7/2014,狀況順利 ,遇到很多支持反服冒的老人家^^,v
2014/4/7 下午 9:05:42,服冒你服不服,Bing,宜蘭縣羅東鎮,復興路二段,50,4/7/2014,發送給一些店家,OK,v
2014/4/7 下午 9:08:42,網路上製作的傳單單頁版,柚,新北市淡水區,英專路65巷 淡水站前進門左手邊那一棟,180,3282014,"那棟的每一個信箱都投了@@

傳單的內容在
https://docs.google.com/file/d/0B_PFgfeRTH1dQmkzQmFxLUZlQ2c/edit",,v
2014/4/7 下午 9:13:49,Bee140405,ken,板橋區,鼎家花園,50份,04/07/14,,,v
2014/4/7 下午 9:17:39,bee140405/醫療版,小墨,北市信義區,虎林街212巷,50,04/07/14,"正常(?
挑晚上去發比較沒有路人的時候(艸","很快就發完了XD
還有遇見鄰居幫加油滿溫馨的//",v
2014/4/7 下午 9:29:34,Bee140405+服貿x醫療,Chris,新北市蘆洲區,民族路台新銀行~民義街區段,200份,04/07/2014,丟信箱很快就發完了，200份能發的住戶太少，巷弄裡的住戶都還沒有發到；第一次丟沒經驗，有的信箱開口較大，傳單會直接掉進信箱裡，怕住戶會沒看到，後來模仿郵差放信的方式，將傳單稍微捲一下再放，就可以卡在信箱開口處了,明天繼續加油,v
2014/4/7 下午 9:42:25,Bee140405B-W,老蜜蜂,新北市新店區,寶中路\寶元路交叉,50,04\07\2014,,,v
2014/4/7 下午 9:45:19,Bee140405,Eric Yeh,桃園縣觀音鄉觀音市區,中正路80~90號、三民路,15,04/07/2014,因為比較鄉下，很多人家是沒有用信箱的，所以只有投有信箱的人家，而且晚上路上都沒人，感覺自己很像在做壞事~~哈哈,,v
2014/4/7 下午 9:46:30,先立什麼法 兩岸協議監督條例 行政院版vs民間版(修正版).pdf,,台北市大安區,羅斯福路3段333巷到溫州街58巷,50,103/4/7,,未對店家發放,v
2014/4/7 下午 10:03:33,漫畫版反黑心服貿,鄭小姐,新北市林口區,醒吾科技大學周邊住家、店家,300,4/7/2014,附近粉寮路、林口路、中山路、中正路的住戶都有投遞，還有民眾主動跟我們索取！,遇到部分店家(林口老街)不願收的情況，還有老人家罵我們胡鬧(可能靠近WeGo的辦公室....)，還好都算理性和平沒有找人打我..........,v
2014/4/7 下午 10:10:50,Bee140405B-W,Shorty,板橋區,"介壽街, 文化路一段270巷",100,4/7/2014,,,v
2014/4/7 下午 10:10:48,Bee140405+全彩反黑箱服貿漫畫,周敬智,新北市新莊區,民安路188巷周邊住家,1000,4/7/2014,洪金寶周邊的部分住戶都有投遞了，還有媽媽主動跟我拿3-5張，說要分送給鄰居看！,有被部分大樓的管理員刁難，有說自己是派報公司的工讀生，但對方堅持不讓我去投遞到住戶信箱.....,v
2014/4/7 下午 10:19:10,Bee140405B-W.pdf,潘君瑜,桃園縣桃園市,經國路,500,4/6/2014,早晨投遞到住戶及店家信箱,上班前發送有點趕,v
2014/4/7 下午 10:19:46,BEE140405,koala,台北市中正區,中華路2段301巷到305巷,100,04/07/2014,順利~~,比想像中快很多,v
2014/4/7 下午 11:20:38,Bee140405B,Yan,新竹市,食品路326巷1弄至7弄一帶,100,04/07/2014,有碰到站在門口抽菸的伯伯，不過他看到我們把文宣放進信箱裡好像沒什麼反應。,心情有點害羞，然後晚上巷子暗暗的還是結伴同行比較好！,v
2014/4/7 下午 11:31:16,服貿x醫療+香港,bee嗶嗶,桃園縣中壢市內壢,忠孝路後面小巷,50,4/7/2014,"黑白版折一折，發住家的信箱，看到很多廣告信的信箱就不投
去元智影印店黑白版1張0.7元",只敢發信箱~印50份以為可以很快發完結果發好慢~~還下雨!再加油!!,v
2014/4/7 下午 11:44:05,Bee140405B-W、醫療版,kimmy,新北市板橋區,府中捷運站、館前東路,300,04/07/14,先是在館前東路的小巷子住家信箱塞了一點，但後來決定移到府中捷運站一號出口和星巴克前發送。雖然不是每個人都會理你，但是有拿到的民眾都會攤開來仔細看，挑等紅燈的時候發給大家，讓大家仔細看到標題後會比較容易發出。,有遇到阿嬤逼問到底是什麼立場，還問說是拿了多少錢才來這裡發=_= 不過也有遇到加油打氣的阿伯，和多拿幾份回去給朋友的民眾。然後就是影印店的老闆居然不收我的錢，還說如果之後有需要可以去找他，是在中和連城路和中正路交接的一間影印店，台灣人真的超溫暖的。,v
2014/4/7 下午 11:51:01, Bee140405+給長輩的大字版DM 服貿對看病的影響,公裕街居民,屏東市,公裕街-公民街,200,2014/4/7,"半夜家長去睡了以後才去發，已丟信箱的方式
",公民街後半段看門狗很多，怕被攻擊所以沒過去，抱歉！,v
2014/4/7 下午 11:51:53,2014/04/07晚上,深夜小蜜蜂,台中市南區,復興路213巷、有恆街8巷、公理街(建國南路與復興路中間段),50,04/07/2014,,,v
2014/4/8 上午 12:23:20,BEE140405,蜜蜂叫淑娜,臺北市信義區,中坡北路15巷衍生到永春國小正門前,150,4/7/2014,"晚上八點投信箱，用像一般房屋廣告的方式呈拱狀撐在信箱口，因為文宣很薄，怕沉下去沒人在意，就當一般廣告紙回收。
還有小心有養狗的人家，一回神發現被某家家犬猛看著嚇一跳，還好沒吠我。","先印個150份練經驗值
因為附近都是公寓大樓住宅區，一棟大概可以噴掉10張以上所以超快
影印店老闆不收我的錢真的很溫馨...QQ
還說他女兒的同學也有來找他印相關文宣
大家加油！",v
2014/4/8 上午 12:30:00,Bee140405,irene liu,台北市內湖區,內湖路二段到737巷,200,2014/4/8,200份 30分鐘內發送完畢,晚上行動 一切順利,v
2014/4/8 上午 12:39:49,Bee140405,Vespa,新北市永和區,福和路79~103號，19巷,150,4/7/2014,黑白，另外加上政院版vs民間版，印成雙面。,起蜂了!!!,v
2014/4/8 上午 12:44:30,馬政府 正在騙我們的事,mdking,高雄岡山,竹圍北街到竹圍國小周邊,100,04/07,"帶太少，一條街走沒完就塞完了
之後會多印點",,v
2014/4/8 上午 12:46:00,file:///Users/gysmi/Downloads/%E5%85%A9%E5%B2%B8%E7%9B%A3%E7%9D%A3%E6%A2%9D%E4%BE%8B%E6%B0%91%E9%96%93%E7%89%88%E8%88%87%E6%94%BF%E9%99%A2%E7%89%88%E5%B7%AE%E5%88%A5.pdf,女青,台北市內湖區,成功路四段,50,04/07/2014,十點多發的路上根本沒，人超順利,完全不夠發，今天想說先試發看看，明天會加印伍佰份一樣的，繼續發送,v
2014/4/8 上午 12:51:59,http://i.imgur.com/6RcAMc5.jpg,飄緹,台南市,大東夜市,600張,04/07/2014,"晚間7:30集合 共有8位夥伴 
分成兩組人向攤販發放 也有隨機給路人

輪過一輪之後 交換區域在入口定點發放 約花了1hr 發送全部600張","大家都很準時的來了 而且意外的有8位 我真的好感動
而且配合默契十足 也都很友善 我深深的為每個人感到驕傲

原來我們也可以成為一份的力量
在發放的過程中 也有攤販給我們支持鼓勵 
就算不拿的人也會說自己有在瞭解

今天就算發了5百張 1千張 也許被看的只有100張 
我希望每個夥伴 可以不停不停的告訴自己 
「原來我也做得到。」

有些人習慣了當搭順風車 習慣充耳不聞
而我們就要抬頭挺胸走在他們的前面 
為每個台灣人鋪設道路

台灣是一個國家 是我們的家 
不是藍綠政黨 不是台獨統一 
我們都是台灣人 我們愛這塊土地

他呵護著我們成長 所以該換我們來保護他
希望有更多的人了解 珍惜自己擁有的一切。

就算今天學生們退出立法院 
我相信這股力量也會持續到我們的理想完成

基督教是如何廣傳世界
因為耶穌的離開 而散播的更廣

靠著土地成長茁壯的向日葵 燦爛綻放 不畏風吹雨打 
總會有雨過天晴的那一天 
而小蜜蜂就是為了將這份力量傳的更廣更遠而存在
期待再相見 可以看到更完整的蜂群 ",v
2014/4/8 上午 12:54:31,服貿對看病有什麼影響https://docs.google.com/file/d/0B29F0JFwjEs_TmpQQ1MwSWREem8/edit,女青,台北市內湖,成功路四段,70,04/07/2014,晚上十點多投信箱超順利,小小試發，不夠發again，明天會加印伍佰份繼續投投投!,v
2014/4/8 上午 1:09:03,Bee140405,,台南市,東安路30巷,30,4/8/103 約01:00,,舊式信箱比較深，傳單會掉下去，可以稍微折一下再投遞,v
2014/4/8 上午 1:14:25, Bee140405,貝比,新竹市,東區振興路一帶,420,04/07/14,在半夜簡單的投遞信箱沒甚麼狀況~,晚上出門一定要結伴同行!有車開過或有人走過都會覺得有點怕怕的，最恐怖的是突然旺旺叫的狗!大家加油~~,v
2014/4/8 上午 1:35:04,Bee140405(加註:感謝您願意花時間關心台灣的未來),飛到西飛到東,高雄市,左營區文守路立明街一帶+楠梓區後勁+煉油廠宿舍,100,04/07/14-04/08/14,"視信箱的郵件數目, 家裡有沒有亮燈以及門前停車來判斷該屋有沒有住人","大家可以在盡量將文宣放入信箱時把標題露出來, 這樣經過的路人也會看到",v
2014/4/8 上午 1:52:11,Bee140405+先立什麼法 兩岸協議監督條例 行政院版vs民間版(修正版),蜂瘋二人組,嘉義縣民雄鄉,文隆村山腳1之45號(打貓食堂)那排房子和附近巷子內的住宅區,100份,04/08/2014,"晚上十點多,發送到信箱和一些夾車上,大部分的住家都睡了,除了狗狗,看到我們非常興奮。有遇到醒著的人,都很和善地拿走傳單,但是會有點困惑~恩?就只是來發傳單??沒有進一步和醒著的人談論我們發送傳單的意義有點可惜...",,v
2014/4/8 上午 2:03:11,Bee140405B-W,獸醫蜂,台北市士林區,文昌路155巷、169巷,約200份,04/08/14,投信箱。凌晨發放，速度極快，無阻礙。,密度頗高的住宅區消耗彈藥的速度是很可怕的，建議有意願投類似區域的夥伴包包要準備大一點，不然一個社區可能就要跑好幾趟。,v
2014/4/8 上午 6:12:57,Bee140405+醫療,lilith,台北市,永吉路30巷附近,200,08/04/2014,塞信箱,附近很多公寓，傳單塞信箱一下就塞完了，大家可以試著攻略這個區塊,v
2014/4/8 上午 8:43:42,Bee140405B-W,獸醫蜂,台北市士林區,士林捷運站1號出口,250,04/08/14,"發送時間為0700~0800
1.主要發送對象為上班族，少部分學生族群。大部分反應不錯，發送速度快。
2.有附近的居民要求不要發給學生，原因是""因為他們什麼都不懂，讓他們專心讀書""","媽媽路人：""你怎麼可以把傳單給學生呢？就應該讓他們去讀書就好，他們什麼都不懂啊！""
我：""這位阿姨，照妳的說法~~那妳應該很了解服貿背後的危險。就是因為還有很多人不了解，所以我們才會出現在這裡啊！""
路人媽媽：""我也不懂啦！""(生氣甩頭走)
這場景讓我回想到在立院靜坐時一位台中高二學生的分享，他說他是請假上來挺學運的，他跟學校請的是病假，他沒生病~~但是我們的國家病了！所以他的假單上寫的是病假！
沒有實際到過現場的人，很難去了解這學生的演說有多麼讓人熱血沸騰！
我很想跟今天早上的這媽媽說，其實學生們沒有不懂，是我們這些成年人不願意去懂，也因此限制了讓他們去懂。
這是個決定未來的路口，他們身為未來台灣的基石，不論支持或反對，要讓他們有機會去了解、去選擇。",v
2014/4/8 上午 8:50:15,Bee140405B-W,打針救台灣,新北市板橋區,忠孝路,50,04/08/2014,發住家信箱消耗得很快，彈藥要備妥。,,v
2014/4/8 上午 9:01:33,Bee140405,tonypai,雲林縣西螺鎮,西螺鎮公所,50,04/08/2014,發放完畢 公所的大哥大姐們有表示支持 並留下十幾份傳單放置入口附近供民眾索取 :),困難就是怕生吧 不過一回生二回熟 臉皮厚就贏了 XD,v
2014/4/8 上午 11:35:16,Bee140405,beebee,新北市蘆洲區,正和街,85,4/78/2014,信箱、全家、彩券店,加油!!,v
2014/4/8 下午 1:51:11,Bee140405、政府&民間版本監督條例比較(台大新聞E論壇),cacabeast,台北市士林區,忠誠路1段小巷弄,500,04/07/2014,"忠誠路1, 2段小巷子找信箱",,v
2014/4/8 下午 1:53:08,Bee140405B-W,烏龜,台北市文山區,恆光街,100,04/06/2014,晚上11點順暢,,v
2014/4/8 下午 2:17:19,Bee140405,艦長,桃園縣中壢市,中原豪景社區外面,10,4/8/2014,"小弟峱峱只敢塞信箱和機車
",,v
2014/4/8 下午 2:30:47,Bee140405,瞇瞇,台中市南屯區,黎明東街後半段(五權西路方向),50,4/8/2014,順利,從自己家社區投起，投的時候有點害羞，但很順利。,v
2014/4/8 下午 3:47:57,Bee140405B-W,天龍小蜜蜂,臺北市信義區,光復南路415巷,100,103/4/7,還不錯，因為早下班先去發，沒什麼人，滿順利的。,另外有印50份請賣報紙的阿姨幫忙發：),v
2014/4/8 下午 5:01:02,看病,,台北市信義區,基隆路260號 樂業街59-70號,60,04/08/2014,中午投沒有管理員的信箱，商家沒投,,v
2014/4/8 下午 5:03:14,服貿對看病有什麼影響?(單頁版)、你準備好幫大陸人付健保費了嗎?、誰的版本比較好?監督條例比一比,Elie,台中市西屯區,西安街,30,04/07/2014,"工作之餘
午休的時候分給路過的民眾
傍晚倒垃圾的時候分給歐巴桑和歐吉桑
去運動時夾路邊的車上
",個性閉俗不太敢開口，所以效率不高。,v
2014/4/8 下午 5:19:07,SOP黑白/正在騙,歌姬,台北市信義區,信義路五段150巷14弄 16弄 22弄,400,07.08/04/2014,"塞信箱
沒有被尾隨跟蹤質疑等等
下午四點真是好時間",,v
2014/4/8 下午 6:55:03,Bee120406,奶茶蜂,台北市文山區,滬江中學~溪口國小(景美),200,4/8/2014,預計4/6發放的 今天才有空去發!,不要忘記，不要放棄！,v
2014/4/8 下午 7:57:01,Bee100405,E蜂子,新北市永和區,安樂路194巷,50,4/8/2014,,很弱只敢塞信箱，有被一樓的住戶投以好奇的目光有點毛，晚上七點多果然出入人很多。（印太少了只發到一半就發完了）,v
2014/4/8 下午 8:16:44,Bee140405、中老年人用醫療文宣,哈嚕,新北市板橋區,莊敬路（和75巷的十字路口～莒光路的十字路口）、雙十路二段47巷、松江路72巷、文化路二段125巷,265,04/08/2014,"因為印象中發放前有看到有人在文化路發了，但沒記清楚是幾段幾巷，怕重複到，在文化路二段125巷跟松江路72巷都是發了比較靠好初的幾戶人家就沒發了。
在莊敬路上的家庭理髮廳、藥局，文化路的好初早餐都放了一些文宣 :)

","之前有先填過表單預報，現在是完成了，所以再來補一下發送狀況的詳細。
家庭理髮廳是看到他們牆上有反服貿的黃色小布條去問的 XD 藥局先跟老闆說明後，老闆很認真地讀了起來，然後讓我們放。",v
2014/4/8 下午 8:33:29,阿公阿媽版放大醫療版,橘子ㄐㄧㄤ,新北市板橋區,莒光路2～58號&35號～57號,100,2014/4/8,默默的放信箱,"100份一下就沒了,下次要印多一點",v
2014/4/8 下午 8:41:59, Bee140405 / 先立法再審查--政院版與民間版比較 ,Vivian,嘉義縣民雄鄉,嘉義大學民雄校區,80,103/04/08,,,v
2014/4/8 下午 8:57:26,服貿x醫療+服貿對看病有什麼影響+民間版與行政院版監督條例差異比較表,蜂巢五人組,高雄市三民區,民族大樂門口發放傳單+河堤明賢街附近大樓飲料店及診所文宣櫃,400,04/08/2014,今天大家一起發放文宣，真的讓我很感動。雖然說有被長輩嗆說快點滾回學校，但還是有關心議題的民眾主動索取文宣。也感謝河堤附近願意讓我們擺放文宣的診所飲料店等等。,繼續加油！,v
